user_id,source,category1,category2
1840e0b9d4,other,Продукты,не определена
4e4f90fcfb,context,Электроника,не определена
afea8d72fc,other,Электроника,не определена
2824221f38,email,Продукты,не определена
373a6055fe,other,Бытовая техника,не определена
9b2ab046f3,other,Электроника,не определена
9f39d307c3,context,Электроника,не определена
44edeffc91,context,Продукты,не определена
704474fa2d,other,Продукты,не определена
1de31be403,other,Бытовая техника,не определена
5da0dedf13,context,Досуг,не определена
b71f36a5e4,other,Продукты,не определена
79843a685a,context,Продукты,не определена
ff68cee0d6,context,Бытовая техника,не определена
e8447c40e2,email,Досуг,не определена
b9ef8fdf47,other,Продукты,не определена
98d290be27,other,Электроника,не определена
3fff459bda,other,Электроника,не определена
fa0079a5a8,other,Досуг,не определена
fdd6b2fc76,context,Бытовая техника,не определена
54ecd881a2,other,Бытовая техника,не определена
22d2f03a17,context,Досуг,не определена
c9fa1b54d5,other,Продукты,не определена
3f8e1ccd3f,other,Электроника,не определена
81a9988b83,context,Электроника,не определена
65f44a2eb7,context,Досуг,не определена
6df948569b,other,Бытовая техника,не определена
5f8fbb0149,other,Бытовая техника,не определена
3ecff691fd,context,Электроника,не определена
dd0e912251,other,Электроника,не определена
9250593d55,other,Электроника,не определена
37c4e090e4,other,Электроника,не определена
22fa3ea76f,other,Электроника,не определена
73b876b237,context,Электроника,не определена
ed6b87f95d,context,Досуг,не определена
f983a69d67,other,Товары для животных,не определена
4ea17212f8,other,Продукты,не определена
c6de96a5e2,other,Товары для животных,не определена
4175fd2e58,other,Электроника,не определена
d8e3bcee53,context,Продукты,не определена
680aa815f9,other,Продукты,не определена
4a92a68cf9,other,Электроника,не определена
905e60cb52,other,Бытовая техника,не определена
393bcfb298,other,Продукты,не определена
06d450cc57,context,Электроника,не определена
b60ce22f17,other,Электроника,не определена
6f159c4c2e,other,Товары для животных,не определена
564202f6bd,context,Электроника,не определена
1908683775,other,Электроника,не определена
8fd957a463,other,Продукты,не определена
72e0a3f1d0,other,Бытовая техника,не определена
7f5f56e517,other,Досуг,не определена
bc1a0a7e26,other,Досуг,не определена
17639fe89d,other,Досуг,не определена
74c9201f84,context,Электроника,не определена
bc4ebda0df,other,Досуг,не определена
fe4615dd15,other,Досуг,не определена
d2c560746d,other,Бытовая техника,не определена
f0a93d52d2,other,Электроника,не определена
fe52ded300,other,Электроника,не определена
dbe70d84e4,context,Строительство и ремонт,не определена
f660dbcc3f,context,Электроника,не определена
f93283c9ee,other,Бытовая техника,не определена
66bea9bf58,other,Бытовая техника,не определена
111c52d9bc,other,Продукты,не определена
16dc76e94d,other,Электроника,не определена
87f37b380c,other,Продукты,не определена
365e3edd2e,other,Бытовая техника,не определена
830421d975,other,Продукты,не определена
7d6c62f0a2,context,Бытовая техника,не определена
77465a0b61,other,Бытовая техника,не определена
ee9eb52181,email,Товары для животных,не определена
871c1fa9ae,other,Продукты,не определена
03b91dba06,other,Электроника,не определена
6cb42b2632,email,Бытовая техника,не определена
c7f6fbe42f,other,Бытовая техника,не определена
9ab8f3bbb8,context,Бытовая техника,не определена
63df9ee9d3,context,Электроника,не определена
2ffd6c724d,other,Продукты,не определена
af24cffd03,context,Электроника,не определена
421149bb9a,other,Строительство и ремонт,не определена
24300c6d1c,other,Электроника,не определена
40fe35eb76,email,Строительство и ремонт,не определена
9ca11a651f,email,Электроника,не определена
b7e640032f,other,Электроника,не определена
3691ad282b,other,Электроника,не определена
00ea2f7484,other,Электроника,не определена
6f198ac1c9,other,Бытовая техника,не определена
0d479d4259,other,Электроника,не определена
2c8067b7a3,other,Продукты,не определена
b461051101,other,Досуг,не определена
d39a1d56c3,context,Бытовая техника,не определена
316ab03143,None,Товары для животных,не определена
78ed39a415,other,Электроника,не определена
fd2c2b59b9,context,Бытовая техника,не определена
19d1e4e036,context,Товары для животных,не определена
9e765c6822,other,Продукты,не определена
ddd50eaa45,other,Электроника,не определена
e07b13abd0,email,Бытовая техника,не определена
c21b82499e,context,Электроника,не определена
da79d9ff30,other,Товары для животных,не определена
eded5c6792,context,Досуг,не определена
e3654c7f1a,other,Досуг,не определена
d20bf10c78,other,Бытовая техника,не определена
12de58d8e6,other,Продукты,не определена
ab8e0c1a01,context,Досуг,не определена
ea10f78fec,other,Продукты,не определена
de85ea0eb6,other,Электроника,не определена
dfe6f4ebb4,other,Бытовая техника,не определена
9d25ac3886,context,Досуг,не определена
ddf1af2d3f,other,Бытовая техника,не определена
d47dd8b814,other,Электроника,не определена
c5e1bf636a,context,Электроника,не определена
eb5654cf30,other,Продукты,не определена
a86e69db63,other,Продукты,не определена
d15327eae3,email,Электроника,не определена
5278408c4c,other,Электроника,не определена
91802f78b2,other,Электроника,не определена
f46375940f,context,Досуг,не определена
152ea9bb42,other,Бытовая техника,не определена
06569907e6,other,Бытовая техника,не определена
9f5bf9b73f,other,Строительство и ремонт,не определена
ec11793734,other,Продукты,не определена
0cf6ee6c84,context,Бытовая техника,не определена
f9a3ef9ac2,context,Продукты,не определена
716a1b4e10,context,Продукты,не определена
42e3b7d1a1,other,Бытовая техника,не определена
426fa041ad,other,Электроника,не определена
e63af2c8b8,other,Бытовая техника,не определена
c0cd6e93e6,other,Электроника,не определена
85ff218333,other,Строительство и ремонт,не определена
f0dfb618b4,other,Товары для животных,не определена
f537f6c8ea,other,Бытовая техника,не определена
733b99b95b,other,Электроника,не определена
749e8694c5,context,Товары для животных,не определена
116f29a8af,email,Электроника,не определена
29586e4061,other,Продукты,не определена
e9eaffa80a,context,Бытовая техника,не определена
da237781d5,context,Продукты,не определена
b7195283e1,other,Товары для животных,не определена
62f37b821c,context,Досуг,не определена
69ae0afab1,other,Продукты,не определена
7fa3bf64b4,other,Досуг,не определена
4e603d8878,other,Строительство и ремонт,не определена
f1b744e6ef,other,Бытовая техника,не определена
6812661e1c,other,Электроника,не определена
fea946e2a6,other,Электроника,не определена
